EventId,EventTemplate,Occurences
E44,... autorun DONE.,2
E45,Autodetecting RAID arrays.,2
E46,Now running on #[NUM]#'s privileges.,2
E47,"User #[NUM]#, coming from #[NUM]#, authenticated.",2
E48,allocating divert_blk for eth[NUM],2
E49,autorun ...,2
E50,"connection from ""#[NUM]#""",2
E51,eth[NUM]: [*]: Intel(R) PRO/[NUM] Network Connection,2
E52,not allocating divert_blk for non-ethernet device [*],2
E53,succeeded,2
E54,(supports [*]),1
E55,Assuming [NUM]MHz system bus speed for PIO modes; override with idebus=xx,1
E56,Cannot open file /dev/logsurfer for writing (No such file or directory),1
E57,CentOS-[NUM] (Kernel Module GPG key),1
E58,Changing permissions on special file /dev/logsurfer,1
E59,Compressed image found at block [NUM],1
E60,Creating Topspin /dev entries:,1
E61,Detected [NUM].[NUM] MHz processor.,1
E62,"Device: /dev/sda, Temperature changed [NUM] Celsius to [NUM] Celsius since last report",1
E63,Direct-Access ANSI SCSI revision: [NUM],1
E64,Disabled at runtime.,1
E65,Disk quotas dquot_[NUM].[NUM].[NUM],1
E66,HPET id: [NUM] base: [NUM],1
E67,Hash tables configured (established [NUM] bind [NUM]),1
E68,INT_SRC_OVR (bus [NUM] bus_irq [NUM] global_irq [NUM] dfl dfl),1
E69,INT_SRC_OVR (bus [NUM] bus_irq [NUM] global_irq [NUM] high level),1
E70,Installing public key data,1
E71,Intel(R) Xeon(TM) CPU [*] stepping [NUM],1
E72,Interpreter enabled,1
E73,LSI Logic MegaRAID driver,1
E74,Local APIC address [NUM],1
E75,MegaRAID Model: LD [NUM] RAID1 [*] Rev: [*],1
E76,Mounted root (ext2 filesystem).,1
E77,Mounting NFS filesystems: succeeded,1
E78,Mounting other filesystems: failed,1
E79,PCI Hot Plug PCI Core version: [NUM].[NUM],1
E80,PCI Interrupt Link [LNKA] (IRQs [NUM] [NUM] [NUM] [NUM] [NUM] [NUM] [NUM] [NUM]) *[NUM],1
E81,PCI Interrupt Link [LNKB] (IRQs [NUM] [NUM] [NUM] [NUM] [NUM] [NUM] *[NUM] [NUM]),1
E82,PCI Interrupt Link [LNKC] (IRQs [NUM] [NUM] [NUM] [NUM] [NUM] [NUM] [NUM] [NUM]) *[NUM],1
E83,"PCI Interrupt Link [LNKD] (IRQs [NUM] [NUM] [NUM] [NUM] [NUM] [NUM] [NUM] [NUM]) *[NUM], disabled.",1
E84,"PCI Interrupt Link [LNKE] (IRQs [NUM] [NUM] [NUM] [NUM] [NUM] [NUM] [NUM] [NUM]) *[NUM], disabled.",1
E85,"PCI Interrupt Link [LNKF] (IRQs [NUM] [NUM] [NUM] [NUM] [NUM] [NUM] [NUM] [NUM]) *[NUM], disabled.",1
E86,"PCI Interrupt Link [LNKG] (IRQs [NUM] [NUM] [NUM] [NUM] [NUM] [NUM] [NUM] [NUM]) *[NUM], disabled.",1
E87,"PCI Interrupt Link [LNKH] (IRQs [NUM] [NUM] [NUM] [NUM] [NUM] [NUM] [NUM] [NUM]) *[NUM], disabled.",1
E88,PCI Root Bridge [PCI0] ([NUM]:[NUM]),1
E89,PE/PV Model: [*] SCSI BP Rev: [NUM].[NUM],1
E90,PS/[NUM] mouse device common for all mice,1
E91,Power Button (FF) [PWRF],1
E92,Probing PCI hardware (bus [NUM]),1
E93,Processor ANSI SCSI revision: [NUM],1
E94,RNG not detected,1
E95,RSDP ([*] DELL ) @ [NUM],1
E96,Received SNMP packet(s) from #[NUM]#,1
E97,Registering netfilter hooks,1
E98,Registering secondary module capability,1
E99,START: tftp pid=[NUM] from=[IP],1
E100,Server listening on :: port [NUM].,1
E101,Started working: [NUM] available service,1
E102,Starting in permissive mode,1
E103,Starting ts_fixup: succeeded,1
E104,Subsystem revision [NUM],1
E105,Transparent bridge - [*],1
E106,Unknown cmd fd([NUM]) cmd([NUM]){[NUM]} arg([NUM]) on /dev/sda,1
E107,Unregistering netfilter hooks,1
E108,Using ACPI for IRQ routing,1
E109,Using HPET based timekeeping.,1
E110,Using IOAPIC for interrupt routing,1
E111,Using MMCONFIG at [NUM],1
E112,Using [NUM].[NUM] MHz HPET timer.,1
E113,Using configuration type [NUM],1
E114,Using software bounce buffering for IO (SWIOTLB),1
E115,Version [NUM].[NUM].[NUM] Starting,1
E116,Warning: we failed to resolve trusted host name [*],1
E117,"[*] AUX port at [NUM],[NUM] irq [NUM]",1
E118,"[*] KBD port at [NUM],[NUM] irq [NUM]",1
E119,v[NUM].[NUM]:USB HID core driver,1
E120,eth0: [*]: NIC Link is Up [NUM] Mbps Full Duplex,1
E121,Initializing.,1
E122,passed.,1
E123,v[NUM].[NUM] ([NUM]),1
E124,sda1 sda2 sda3 sda4,1
E125,[NUM].[NUM].[NUM]-ioctl ([NUM][NUM][NUM]) initialised: #[NUM]#@#[NUM]#,1
E126,asking for cache data failed,1
E127,assuming drive cache: write through,1
E128,colour VGA+ [*],1
E129,error: Bind to port [NUM] on [IP] failed: Address already in use.,1
E130,fw version:[[*]] bios version:[[*]],1
E131,gmetad startup succeeded,1
E132,initialized,1
E133,initializing netlink socket (disabled),1
E134,kernel time sync disabled [NUM],1
E135,kernel time sync enabled [NUM],1
E136,"md driver [NUM].[NUM].[NUM] MAX_MD_DEVS=[NUM], MD_SB_DISKS=[NUM]",1
E137,no floppy controllers found,1
E138,portmap startup succeeded,1
E139,probe new device [NUM]:[NUM]:[NUM]:[NUM]: bus [NUM]:slot [NUM]:func [NUM],1
E140,probe of vesafb0 failed with error [NUM],1
E141,registered new driver hiddev,1
E142,registered new driver hub,1
E143,registered new driver usbfs,1
E144,registered new driver usbhid,1
E145,"root=LABEL=/ initrd=/[*] console=[*] console=[*],[NUM] fastboot BOOT_IMAGE=[*]",1
E146,"routing cache hash table of [NUM] buckets, [NUM]Kbytes",1
E147,rpc.statd startup succeeded,1
E148,scanning scsi channel [NUM] [Phy [NUM]] for non-raid devices,1
E149,scanning scsi channel [NUM] [virtual] for logical drives,1
E150,[*] [NUM].[NUM] [NUM]/[NUM]/[NUM] [NUM]:[NUM]:[NUM] ak Exp $,1
E151,syslog-ng startup succeeded,1
E152,syslog-ng version [NUM].[NUM].[NUM] starting,1
E153,time reset +[NUM].[NUM] s,1
E154,xinetd Version [NUM].[NUM].[NUM] started with libwrap loadavg options compiled in.,1
E155,xinetd startup succeeded,1
