EventId,EventTemplate,Occurences
E136,hub [NUM][NUM]:[NUM].[NUM]: USB hub found,1
E137,hub [NUM][NUM]:[NUM].[NUM]: [NUM] ports detected,1
E138,ide-floppy driver [NUM].[NUM].newide,1
E139,ide: Assuming [+] system bus speed for PIO modes; override with idebus=xx,1
E140,"ide[NUM] at [NUM][NUM],[NUM] on irq [STATE]",2
E141,"ide[NUM]: BM-DMA at [NUM][NUM], BIOS settings: hda:DMA, hdb:pio",1
E142,"ide[NUM]: BM-DMA at [NUM][NUM], BIOS settings: hdc:DMA, hdd:pio",1
E143,input: AT Translated Set [NUM] keyboard on [+]/[+],1
E144,input: ImPS/[NUM] Logitech Wheel Mouse on [+]/[+],1
E145,inserting floppy driver for [NUM].[NUM].[NUM][NUM].[NUM],1
E146,ip_tables: ([NUM]) [NUM][NUM] Netfilter core team,2
E147,isapnp: No Plug & Play device found,1
E148,kernel time sync disabled [NUM],1
E149,kernel time sync enabled [NUM],1
E150,kernel time sync status [NUM],1
E151,kjournald starting.  Commit interval [NUM] seconds,2
E152,"listening on IPv4 interface [+], [IP]#[NUM]",24
E153,loading configuration from '/etc/named.conf',1
E154,md: ... autorun DONE.,1
E155,md: Autodetecting RAID arrays.,1
E156,md: autorun ...,1
E157,"md: md driver [NUM].[NUM].[NUM] MAX_MD_DEVS=[NUM], MD_SB_DISKS=[NUM]",1
E158,mdadm succeeded,1
E159,mdmpd failed,1
E160,mice: PS/[NUM] mouse device common for all mice,1
E161,microcode: No suitable data for cpu [NUM],1
E162,microcode: [+] already at revision [NUM] (current=0x8),1
E163,ntpd [NUM].[NUM].[NUM]@[NUM].[NUM]-r Thu Mar [NUM] [NUM]:[NUM]:[NUM] EST [NUM] ([NUM]),1
E164,precision = [NUM].[NUM] usec,1
E165,process `syslogd' is using obsolete setsockopt SO_BSDCOMPAT,1
E166,removing device node '/udev/[+]',36
E167,"rsyncd version [NUM].[NUM].[NUM] starting, listening on port [NUM]",1
E168,running,1
E169,select reported [NUM] but no [NUM] file descriptors were found,1
E170,"serio: [+] AUX port at [NUM],[NUM] irq [STATE]",1
E171,"serio: [+] KBD port at [NUM],[NUM] irq [STATE]",1
E172,service(sshd) ignoring max retries; [STATE] > 3,11
E173,session closed for user cyrus,49
E174,session closed for user htt,1
E175,session closed for user news,49
E176,session closed for user root,10
E177,session opened for user cyrus by ([?]uid=[NUM]),49
E178,session opened for user htt by ([?]uid=[NUM]),1
E179,session opened for user news by ([?]uid=[NUM]),49
E180,session opened for user root by [*][?]uid=[NUM]),10
E181,smartd has fork()[NUM] into background mode. New PID=[NUM].,1
E182,smartd version [NUM].[NUM] Copyright ([NUM]) [NUM][NUM] Bruce Allen,1
E183,starting BIND [NUM].[NUM].[NUM] -u named -t /var/named/chroot,1
E184,succeeded,2
E185,"synchronized to LOCAL([NUM]), stratum=[NUM]",1
E186,ttloop:  peer died: Invalid or incomplete multibyte or wide character,22
E187,ttloop:  read: Connection reset by peer,2
E188,ttyS[NUM] at I/O [STATE] (irq = [STATE]) is [NUM] [NUM],2
E189,uhci_hcd [NUM]:[NUM]:[NUM].[NUM]: UHCI Host Controller,1
E190,"uhci_hcd [NUM]:[NUM]:[NUM].[NUM]: irq [STATE], io base [NUM]",1
E191,"uhci_hcd [NUM]:[NUM]:[NUM].[NUM]: new USB bus registered, assigned bus number [NUM]",1
E192,usbcore: registered new driver hid,1
E193,usbcore: registered new driver hiddev,1
E194,using [NUM] CPU,1
E195,warning: can't get client address: Connection reset by peer,1
E196,xinetd Version [NUM].[NUM].[NUM] started with libwrap loadavg options compiled in.,1
