EventId,EventTemplate,Occurences
E42,Error returned from iconservicesagent: (null),13
E43,dnssd_clientstub ConnectToServer: connect() failed path:/var/run/mDNSResponder Socket:[NUM] Err:[NUM] Errno:[NUM] Operation not permitted,13
E44,ARPT: [NUM].[NUM]: AirPort_[*]::powerChange: System Wake - Full Wake/ Dark Wake / Maintenance wake,12
E45,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=[NUM] ""Account identity not set"" UserInfo={NSDescription=Account identity not set}",12
E46,ARPT: [NUM].[NUM]: AirPort_[*]::platformWoWEnable: WWEN[enable],12
E47,ARPT: [NUM].[NUM]: AirPort_[*]::syncPowerState: WWEN[enabled],12
E48,"USBMSC Identifier (non-unique): [NUM] [NUM] [NUM] [NUM], [NUM]",12
E49,Bluetooth -- LE is supported - Disable LE meta event,11
E50,"[*]::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(true)",11
E51,"ARPT: [NUM].[NUM]: wl0: setup_keepalive: interval [NUM], retry_interval [NUM], retry_count [NUM]",11
E52,RTC: PowerByCalendarDate setting ignored,11
E53,[[NUM]:[NUM]:[NUM].[NUM]] FigAgglomeratorSetObjectForKey signalled err=[NUM] (kFigStringConformerError_ParamErr) (NULL key) at /Library/Caches/com.apple.xbs/Sources/CoreMedia/CoreMedia-[NUM].[NUM].[NUM]/Prototypes/LegibleOutput/FigAgglomerator.c line [NUM],11
E54,[*]::[*] - retries = [NUM],11
E55,jemmytest,10
E56,__[NUM]-[NETClientConnection [*]]_block_invoke CI46 - Hit by torpedo! [*].[NUM] tc[NUM] [IP]:[NUM],10
E57,"ARPT: [NUM].[NUM]: wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq [NUM], Ack [NUM], Win size [NUM]",10
E58,[*]::[*]::postMessage bssid changed,10
E59,############################## _getSysMsgList,10
E60,ARPT: [NUM].[NUM]: ARPT: Wake Reason: Wake on Scan offload,9
E61,ASL Sender Statistics,9
E62,-[NETClientConnection effectiveBundleID] using process name apsd as bundle ID (this is expected for daemons without bundle ID,9
E63,[*]_unlink_ifa: IPv6 address [NUM] has no prefix,9
E64,"ARPT: [NUM].[NUM]: wl0: MDNS: [NUM] SRV Recs, [NUM] TXT Recs",9
E65,CCIOReporterFormatter::refreshSubscriptionsFromStreamRegistry clearing out any previous subscriptions,9
E66,AirPort: Link Up on awdl0,9
E67,ARPT: [NUM].[NUM]: wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.,9
E68,"PM response took [NUM] ms ([NUM], powerd)",9
E69,ARPT: [NUM].[NUM]: framerdy [NUM] bmccmd [NUM] framecnt [NUM],8
E70,Unrecognized attribute value: t:AbchPersonItemType,8
E71,[HID] [ATC] AppleDeviceManagementHIDEventService::processWakeReason Wake reason: Host ([NUM]),8
E72,"ARPT: [NUM].[NUM]: wl0: setup_keepalive: Seq: [NUM], Ack: [NUM], Win size: [NUM]",8
E73,tcp_connection_tls_session_error_callback_imp [NUM] __tcp_connection_tls_session_callback_write_block_invoke.[NUM] error [NUM],8
E74,[NUM]:[NUM]:[NUM].[NUM] : BTLE scanner Powered On,8
E75,"ARPT: [NUM].[NUM]: wl0: setup_keepalive: Local port: [NUM], Remote port: [NUM]",8
E76,KeychainGetICDPStatus: status: off,8
E77,ARPT: [NUM].[NUM]: wl0: setup_keepalive: Remote IP: [IP],8
E78,ARPT: [NUM].[NUM]: AQM agg results [NUM] len hi/lo: [NUM] [NUM] BAbitmap([NUM]-[NUM]) [NUM] [NUM] [NUM] [NUM],7
E79,ARPT: [NUM].[NUM]: AQM agg params [NUM] maxlen hi/lo [NUM] [NUM] minlen [NUM] adjlen [NUM],7
E80,[NUM]:[NUM]:[NUM].[NUM] : Scanning mode Contacts Only,7
E81,"ARPT: [NUM].[NUM]: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': [NUM],",7
E82,"Setting BTCoex Config: enable_[*]:[NUM], profile_[*]:[NUM], enable_[*]:[NUM], profile_[*]:[NUM]",7
E83,"setting hostname to ""[*]""",7
E84,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams [NUM],7
E85,network changed: [*]([*]:[IP]) [*]([*]:[NUM]:[NUM]:[NUM]:[NUM]:[NUM]:[*]:fecd:[NUM]) DNS! Proxy SMB,7
E86,AirPort: Link Down on awdl0. Reason [NUM] (Unspecified).,7
E87,Captive: CNPluginHandler en0: Authenticated,7
E88,"ARPT: [NUM].[NUM]: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': No, 'TimeRemaining': [NUM],",6
E89,"ARPT: [NUM].[NUM]: wl0: wl_update_tcpkeep_seq: Original Seq: [NUM], Ack: [NUM], Win size: [NUM]",6
E90,"doSaveChannels@[NUM]: Will write to: /Library/Logs/CrashReporter/CoreCapture/IOReporters/[[NUM]-[NUM]-[NUM]_[NUM],[NUM],[NUM].[NUM]] - [*]:sts:[NUM]_rsn:[NUM].xml",6
E91,[*]::setAwdlOperatingMode Setting the AWDL operation mode from SUSPENDED to AUTO,6
E92,ARPT: [NUM].[NUM]: wlc_dump_aggfifo:,6
E93,[*]([NUM]) deny mach-lookup com.apple.networking.captivenetworksupport,6
E94,[*]::[*] - intel_rp = [NUM] dlla_reporting_supported = [NUM],6
E95,-[NETClientConnection evaluateCrazyIvan46] CI46 - Perform CrazyIvan46! [*].[NUM] tc[NUM] [IP]:[NUM],5
E96,"SecOSStatusWith error:[[NUM]] Error Domain=NSOSStatusErrorDomain Code=[NUM] ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=query missing class name}",5
E97,"RTC: Maintenance [NUM]/[NUM]/[NUM] [NUM]:[NUM]:[NUM], sleep [NUM]/[NUM]/[NUM] [NUM]:[NUM]:[NUM]",5
E98,Wake reason: RTC (Alarm),5
E99,AirPort: Link Down on en0. Reason [NUM] (Disassociated because station leaving).,5
E100,[[NUM]:[NUM]:[NUM].[NUM]] itemasync_SetProperty signalled err=[NUM] (kFigBaseObjectError_Invalidated) (invalidated) at /Library/Caches/com.apple.xbs/Sources/CoreMedia/CoreMedia-[NUM].[NUM].[NUM]/Prototypes/Player/FigPlayer_Async.c line [NUM],5
E101,<IMMacNotificationCenterManager: [NUM]>:    NC Disabled: NO,5
E102,en0: [NUM].[*] country code set to '[*]'.,5
E103,[com.apple.calendar.store.log.caldav.coredav] [Refusing to parse response to PROPPATCH because of content-type: [text/html; charset=UTF-[NUM]].],5
E104,sigio_handler: sigio_handler_active != [NUM],5
E105,ARPT: [NUM].[NUM]: wl0: setup_keepalive: Local IP: [IP],4
E106,ARPT: [NUM].[NUM]: wl0: MDNS: IPV4 Addr: [NUM][*][NUM],4
E107,-[NETClientConnection effectiveBundleID] using process name CalendarAgent as bundle ID (this is expected for daemons without bundle ID,4
E108,ASSERTION FAILED: dvcAddrRef != ((void *)[NUM]) -[DriverServices getDeviceAddress:] line: [NUM],4
E109,Saw change in network reachability (isReachable=[NUM]),4
E110,AirPort: Link Up on en0,4
E111,TBT W ([NUM]): [NUM] [x],4
E112,"ARPT: [NUM].[NUM]: wl0: Roamed or switched channel, reason #[NUM], bssid [*]:[*]:[*][NUM]:[*], last RSSI [NUM]",4
E113,[[NUM]:[NUM]:[NUM].[NUM]] itemasync_CopyProperty signalled err=[NUM] (kFigBaseObjectError_Invalidated) (invalidated) at /Library/Caches/com.apple.xbs/Sources/CoreMedia/CoreMedia-[NUM].[NUM].[NUM]/Prototypes/Player/FigPlayer_Async.c line [NUM],4
E114,Sandbox: [*]([NUM]) deny([NUM]) mach-lookup [*],4
E115,"securityd_xpc_dictionary_handler cloudd[[NUM]] copy_matching Error Domain=NSOSStatusErrorDomain Code=[NUM] ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=query missing class name}",4
E116,[[NUM]/[NUM]:WARNING:dns_config_service_posix.cc([NUM])] Failed to read DnsConfig.,4
E117,Captive: CNPluginHandler en0: Inactive,4
E118,"pages [NUM], wire [NUM], act [NUM], inact [NUM], cleaned [NUM] spec [NUM], zf [NUM], throt [NUM], compr [NUM], xpmapped [NUM]",4
E119,-[SOAPParser:[NUM] parser:didStartElement:namespaceURI:qualifiedName:attributes:] Type not found in EWSItemType for ExchangePersonIdGuid (t:ExchangePersonIdGuid),4
E120,[[NUM]:[NUM]:[NUM].[NUM]] <<<< IQ-CA >>>> piqca_setUsePreQueue: ([NUM]) rejecting report of layer being serviced - IQ has not yet begun to update,4
E121,[NUM]:[NUM]:[NUM].[NUM] : BTLE scanner Powered Off,4
E122,Captive: CNPluginHandler en0: Evaluating,4
E123,en0: Supported channels [NUM] [NUM] [NUM] [NUM] [NUM] [NUM] [NUM] [NUM] [NUM] [NUM] [NUM] [NUM] [NUM] [NUM] [NUM] [NUM] [NUM] [NUM] [NUM] [NUM] [NUM] [NUM] [NUM] [NUM] [NUM] [NUM] [NUM] [NUM] [NUM] [NUM] [NUM] [NUM] [NUM] [NUM] [NUM] [NUM] [NUM][*],4
E124,"NETWORK: no response from server, reachability, [NUM], queryRetries, [NUM]",4
E125,[NUM]/[NUM]/[NUM] [NUM]:[NUM]:[NUM].[NUM] | I | VoipWrapper  | DAVEngineImpl.cpp:[NUM]:Close             | close video chat. llFriendUIN = [*][NUM].,4
E126,"CCLogTap::profileRemoved, Owner: com.apple.iokit.[*], Name: [*]",3
E127,tcp_connection_destination_perform_socket_connect [NUM] connectx to [IP]:[NUM]@[NUM] failed: [[NUM]] Network is down,3
E128,"IOPMrootDomain: idle cancel, state [NUM]",3
E129,**** [BroadcomBluetoothHostControllerUSBTransport][start] -- Completed (matched on Device) -- [NUM] ****,3
E130,Captive: [CNInfoNetworkActive:[NUM]] en0: SSID 'CalVisitor' making interface primary (cache indicates network not captive),3
E131,mDNS_RegisterInterface: Frequent transitions for interface en0 ([NUM]:[NUM]:[NUM]:[NUM]:[NUM]:[NUM]:FECD:[NUM]),3
E132,"[NUM]-[NUM]-[NUM] [NUM]:[NUM]:[NUM].[NUM] GoogleSoftwareUpdateAgent[[NUM]/[NUM]] [lvl=[NUM]] -[KSOutOfProcessFetcher(PrivateMethods) helperDidTerminate:] KSOutOfProcessFetcher fetch ended for URL: ""https://tools.google.com/service/[*]?[*]=[NUM]&[*]=[NUM]:[NUM]""",3
E133,"DB Error: [NUM] ""no such table: tb_[*]_[NUM]""",3
E134,network changed: [*]([*]-:[*][NUM]:[NUM]:[NUM]:[NUM]:[NUM]:[*]:[*]:[NUM]) DNS- Proxy-,3
E135,[HID] [MT] AppleMultitouchDevice::willTerminate entered,3
E136,mDNS_DeregisterInterface: Frequent transitions for interface en0 ([*]),3
E137,Peripheral manager is not powered on,3
E138,"polled file major [NUM], minor [NUM], blocksize [NUM], pollers [NUM]",3
E139,"ARPT: [NUM].[NUM]: IOPMPowerSource Information: onWake,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': [NUM],",3
E140,"device_generate_lock_screen_screenshot: authw [NUM]([NUM])[[NUM], [NUM], [NUM], [NUM]] shield [NUM]([NUM]), dev [[NUM],[NUM]]",3
E141,[[NUM]:[NUM]:[NUM].[NUM]] <<<< CRABS >>>> crabsFlumeHostAvailable: [[NUM]] Byte flume reports host available again.,3
E142,"Opened file [*], size [NUM], extents [NUM], maxio [NUM] ssd [NUM]",3
E143,"<<<< FigByteStream >>>> FigByteStreamStatsLogOneRead: ByteStream read of [NUM] bytes @ [NUM] took [NUM].[NUM] [*] to complete, [NUM] reads >= [*] sec.",3
E144,"device_generate_desktop_screenshot: authw [NUM]([NUM]), shield [NUM]([NUM])",3
E145,wake time set [*][NUM].[NUM] s,3
E146,network changed: DNS* Proxy,3
E147,CGXDisplayDidWakeNotification [[NUM]]: posting kCGSDisplayDidWake,3
E148,[NUM]-[NUM]-[NUM] [NUM]:[NUM]:[NUM].[NUM] ksfetch[[NUM]/[NUM]] [lvl=[NUM]] KSHelperReceiveAllData() KSHelperTool read [NUM] bytes from stdin.,3
E149,assertion failed: 15G1510: com.apple.telemetry + [NUM] [[NUM]-[NUM]-[NUM]-[NUM]-[NUM]]: [NUM],3
E150,"Service ""com.apple.xpc.launchd.unmanaged.loginwindow.[NUM]"" tried to hijack endpoint ""com.apple.tsm.uiserver"" from owner: com.apple.SystemUIServer.agent",3
E151,[com.apple.calendar.store.log.caldav.queue] [Adding [<CalDAVAccountRefreshQueueableOperation: [NUM]; Sequence: [NUM]>] to failed operations.],3
E152,Wake reason: ARPT (Network),3
E153,Wake reason: ?,2
E154,[BluetoothHIDDeviceController]ERROR: Could not find the disconnected object,2
E155,"bitmap_size [NUM], previewSize [NUM], writing [NUM] pages @ [NUM]",2
E156,"Unable to simultaneously satisfy constraints: ( ""<NSLayoutConstraint:[NUM] H:[NSImageView:[NUM]([NUM])]>"", ""<NSLayoutConstraint:[NUM] H:|-([NUM])-[NSImageView:[NUM]]   (Names: PageItemCell:[NUM], '|':PageItemCell:[NUM] )>"", ""<NSLayoutConstraint:[NUM] 'NSView-Encapsulated-Layout-Width' H:[PageItemCell([NUM])]   (Names: PageItemCell:[NUM] )>"", ""<NSLayoutConstraint:[NUM] H:[NSImageView:[NUM]]-([NUM])-[NSTextField:[NUM]]>"", ""<NSLayoutConstraint:[NUM] H:[NSTextField:[NUM]]-([NUM])-|   (Names: PageItemCell:[NUM], '|':PageItemCell:[NUM] )>"", ""<NSLayoutConstraint:[NUM] H:[NSTextField:[NUM]]-(>=NSSpace([NUM]))-[NSTextField:[NUM]]>"" )  Will attempt to recover by breaking constraint <NSLayoutConstraint:[NUM] H:[NSImageView:[NUM]([NUM])]>  Set the NSUserDefault NSConstraintBasedLayoutVisualizeMutuallyExclusiveConstraints to YES to have -[NSWindow visualizeConstraints:] automatically called when this happens.  And/or, break on objc_exception_throw to catch this in the debugger.",2
E157,hibernate_flush_memory: buffer_cache_gc freed up [NUM] wired pages,2
E158,"hibernate_alloc_pages act [NUM], inact [NUM], anon [NUM], throt [NUM], spec [NUM], wire [NUM], wireinit [NUM]",2
E159,hibernate_machine_init reading,2
E160,"Unexpected payload found for message [NUM], dataLen [NUM]",2
E161,[[NUM]:[NUM]:[NUM].[NUM]] <<<< CRABS >>>> crabsFlumeHostUnavailable: [[NUM]] Byte flume reports host unavailable.,2
E162,[NUM]-[NUM]-[NUM] [NUM]:[NUM]:[NUM].[NUM] ksfetch[[NUM]/[NUM]] [lvl=[NUM]] main() ksfetch fetching URL (<NSMutableURLRequest: [NUM]> { URL: https://tools.google.com/service/[*]?[*]=[NUM]&[*]=[NUM]:[NUM] }) to folder:/tmp/KSOutOfProcessFetcher.[*]/download,2
E163,CCXPCService::setStreamEventHandler Registered for notification callback.,2
E164,INIT -- Host controller is published,2
E165,Unrecognized XSSimpleTypeDefinition: OneOff,2
E166,"[NUM]-[NUM]-[NUM] [NUM]:[NUM]:[NUM].[NUM] GoogleSoftwareUpdateAgent[[NUM]/[NUM]] [lvl=[NUM]] -[KSOutOfProcessFetcher beginFetchWithDelegate:] KSOutOfProcessFetcher start fetch from URL: ""https://tools.google.com/service/[*]?[*]=[NUM]&[*]=[NUM]:[NUM]""",2
E167,"hibernate_newruntime_map time: [NUM] ms, IOPolledFilePollersOpen(), ml_get_interrupts_enabled [NUM]",2
E168,ChromeExistion main isUndetectWithCommand = [NUM],2
E169,Session [NUM] destroyed,2
E170,**** [IOBluetoothHostControllerUSBTransport][start] -- completed -- result = TRUE -- [NUM] ****,2
E171,BuildActDeviceEntry exit,2
E172,"PBRequester failed with Error Error Domain=NSURLErrorDomain Code=[NUM] ""The Internet connection appears to be offline."" UserInfo={NSUnderlyingError=[NUM] {Error Domain=kCFErrorDomainCFNetwork Code=[NUM] ""The Internet connection appears to be offline."" UserInfo={NSErrorFailingURLStringKey=https://gsp-ssl.ls.apple.com/dispatcher.arpc, NSErrorFailingURLKey=https://gsp-ssl.ls.apple.com/dispatcher.arpc, _kCFStreamErrorCodeKey=[NUM], _kCFStreamErrorDomainKey=[NUM], NSLocalizedDescription=The Internet connection appears to be offline.}}, NSErrorFailingURLStringKey=https://gsp-ssl.ls.apple.com/dispatcher.arpc, NSErrorFailingURLKey=https://gsp-ssl.ls.apple.com/dispatcher.arpc, _kCFStreamErrorDomainKey=[NUM], _kCFStreamErrorCodeKey=[NUM], NSLocalizedDescription=The Internet connection appears to be offline.}",2
E173,BuildActDeviceEntry enter,2
E174,hibernate_page_list_setall found pageCount [NUM],2
E175,**** [IOBluetoothFamily][ProcessBluetoothTransportShowsUpActionWL] -- calling IOBluetoothFamily's registerService() -- [NUM] -- [NUM] -- [NUM] ****,2
E176,IOHibernatePollerOpen([NUM]),2
E177,[NUM]:[NUM]:[NUM].[NUM] : BTLE scanning stopped,2
E178,<IMMacNotificationCenterManager: [NUM]>:   DND Enabled: NO,2
E179,[NUM]:[NUM]:[NUM].[NUM] : BTLE scanning started,2
E180,mDNS_DeregisterInterface: Frequent transitions for interface awdl0 ([NUM]:[NUM]:[NUM]:[NUM]:[NUM]:[NUM]:[NUM]:[NUM]),2
E181,"CCDataTap::profileRemoved, Owner: [*], Name: [*]",2
E182,"hibernate_machine_init pagesDone [NUM] sum2 [NUM], time: [NUM] ms, disk([NUM]) [NUM] Mb/s, comp bytes: [NUM] time: [NUM] ms [NUM] Mb/s, crypt bytes: [NUM] time: [NUM] ms [NUM] Mb/s",2
E183,"Page bounds {{[NUM], [NUM]}, {[NUM], [NUM]}}",2
E184,could discard act [NUM] inact [NUM] purgeable [NUM] spec [NUM] cleaned [NUM],2
E185,hibernate_teardown_pmap_structs done: last_valid_compact_indx [NUM],2
E186,"CFPasteboardRef CFPasteboardCreate(CFAllocatorRef, CFStringRef) : failed to create global data",2
E187,"Configuration Notice: ASL Module ""[*]"" claims selected messages. Those messages may not appear in standard system log files or in the ASL database.",2
E188,"[Accounts] Failed to update account with identifier [NUM]-[NUM]-[NUM]-[NUM]-[NUM], error: Error Domain=ABAddressBookErrorDomain Code=[NUM] ""(null)""",2
E189,[BluetoothHIDDeviceController] EventServiceConnectedCallback,2
E190,[NUM]:[NUM]:[NUM].[NUM] : Purged contact hashes,2
E191,"ARPT: [NUM].[NUM]: IOPMPowerSource Information: onWake,  SleepType: Normal Sleep,  'ExternalConnected': No, 'TimeRemaining': [NUM],",2
E192,Unable to start NetBIOS name service:,2
E193,hibernate image path: /var/vm/sleepimage,2
E194,[HID] [ATC] [Error] AppleDeviceManagementHIDEventService::start Could not make a string from out connection notification key,2
E195,"[NUM]-[NUM]-[NUM] [NUM]:[NUM]:[NUM].[NUM] GoogleSoftwareUpdateAgent[[NUM]/[NUM]] [lvl=[NUM]] -[KSUpdateEngine updateAllExceptProduct:] KSUpdateEngine updating all installed products, except:'com.google.Keystone'.",2
E196,AppleActuatorHIDEventDriver: stop,2
E197,[NUM]:[NUM]:[NUM].[NUM] : Starting AirDrop server for user [NUM] on wake,2
E198,ARPT: [NUM].[NUM]: ARPT: Wake Reason: Wake on TCP Timeout,2
E199,hibernate_setup([NUM]) took [NUM] ms,2
E200,WARNING: hibernate_page_list_setall skipped [NUM] xpmapped pages,2
E201,"[Accounts] Current connection, <NSXPCConnection: [NUM]> connection from pid [NUM], doesn't have account access.",2
E202,[NUM]-[NUM]-[NUM] [NUM]:[NUM]:[NUM].[NUM] GoogleSoftwareUpdateAgent[[NUM]/[NUM]] [lvl=[NUM]] -[KSAgentApp(KeystoneDelegate) updateEngineFinishedWithErrors:] Keystone finished: errors=[NUM],2
E203,efi pagecount [NUM],2
E204,[NUM]:[NUM]:[NUM].[NUM] : Discoverable mode changed to Off,2
E205,url host = [*],1
E206,hibernate_rebuild completed - took [NUM] msecs,1
E207,CCProfileMonitor::freeResources done,1
E208,"Google Chrome He[[NUM]] triggered unnest of range [NUM]->[NUM] of DYLD shared region in VM map [NUM]. While not abnormal for debuggers, this increases system memory footprint until the target exits.",1
E209,hibernate_teardown completed - discarded [NUM],1
E210,WARNING: Type1 font data isn't in the correct format required by the Adobe Type [NUM] Font Format specification.,1
E211,[NUM]:[NUM]:[NUM].[NUM] : Started generating hashes,1
E212,(DiskStore.Normal:[NUM]) [NUM] [NUM].[NUM],1
E213,-[SFLListManager(ServiceReplyProtocol) notifyChanges:toListWithIdentifier:] Notified of item changes to list with identifier com.apple.LSSharedFileList.RecentApplications,1
E214,[NUM]-[NUM]-[NUM] [NUM]:[NUM]:[NUM].[NUM] ksfetch[[NUM]/[NUM]] [lvl=[NUM]] main() Fetcher is exiting.,1
E215,hibernate_page_list_setall(preflight [NUM]) start,1
E216,DB Path: /Users/xpc/Library/Containers/com.tencent.qq/Data/Documents/contents/[NUM]/QQ.db,1
E217,PMStats: Hibernate read took [NUM] ms,1
E218,CFNetwork SSLHandshake failed ([NUM]),1
E219,payload Data [NUM] [NUM],1
E220,<IMMacNotificationCenterManager: [NUM]>:   DND Enabled: YES,1
E221,"Configuration Notice: ASL Module ""com.apple.authkit.osx.asl"" sharing output destination ""/var/log/Accounts"" with ASL Module ""com.apple.Accounts"". Output parameters from ASL Module ""com.apple.Accounts"" override any specified in ASL Module ""com.apple.authkit.osx.asl"".",1
E222,Sandbox: [*]([NUM]) deny([NUM]) ipc-posix-shm-read-data CFPBS:[NUM]:,1
E223,hibernate_rebuild started,1
E224,Checking iCDP status for DSID [NUM] (checkWithServer=[NUM]),1
E225,network changed: [*]([*]:[IP]) [*]([*]!:[NUM]:[NUM]:[NUM]:[NUM]:[NUM]:[NUM]:[NUM]:[NUM]) DNS Proxy SMB,1
E226,[NUM]-[NUM]-[NUM] [NUM]:[NUM]:[NUM].[NUM] PM [AirPlayUIAgent] BecomingInactive: NSWorkspaceWillSleepNotification,1
E227,host connection <NSXPCConnection: [NUM]> connection from pid [NUM] invalidated,1
E228,Could not get event name for stream/token: com.apple.xpc.activity/[NUM]: [NUM]: Request for stale data,1
E229,"ARPT: [NUM].[NUM]: IOPMPowerSource Information: onSleep,  SleepType: Standby,  'ExternalConnected': No, 'TimeRemaining': [NUM],",1
E230,Wake reason: EC.SleepTimer (SleepTimer),1
E231,"PBRequester failed with Error Error Domain=NSURLErrorDomain Code=[NUM] ""The Internet connection appears to be offline."" UserInfo={NSUnderlyingError=[NUM] {Error Domain=kCFErrorDomainCFNetwork Code=[NUM] ""The Internet connection appears to be offline."" UserInfo={NSErrorFailingURLStringKey=https://gs-loc.apple.com/clls/wloc, NSErrorFailingURLKey=https://gs-loc.apple.com/clls/wloc, _kCFStreamErrorCodeKey=[NUM], _kCFStreamErrorDomainKey=[NUM], NSLocalizedDescription=The Internet connection appears to be offline.}}, NSErrorFailingURLStringKey=https://gs-loc.apple.com/clls/wloc, NSErrorFailingURLKey=https://gs-loc.apple.com/clls/wloc, _kCFStreamErrorDomainKey=[NUM], _kCFStreamErrorCodeKey=[NUM], NSLocalizedDescription=The Internet connection appears to be offline.}",1
E232,Host controller terminated,1
E233,-_continuousScroll is deprecated for NSScrollWheel. Please use -hasPreciseScrollingDeltas.,1
E234,objc[[NUM]]: Class TSUAtomicLRUCache is implemented in both /Library/QuickLook/iWork.qlgenerator/Contents/MacOS/iWork and /System/Library/PrivateFrameworks/OfficeImport.framework/Versions/A/OfficeImport. One of the two will be used. Which one is undefined.,1
E235,"ChromeExistion main strSendMsg = {""websitekey"":false,""commandkey"":true,""browserkey"":true}",1
E236,objc[[NUM]]: Class TSUCustomFormatData is implemented in both /Library/QuickLook/iWork.qlgenerator/Contents/MacOS/iWork and /System/Library/PrivateFrameworks/OfficeImport.framework/Versions/A/OfficeImport. One of the two will be used. Which one is undefined.,1
E237,[[NUM]:[NUM]:[NUM].[NUM]] mv_LowLevelCheckIfVideoPlayableUsingDecoder signalled err=[NUM] (kFigMediaValidatorError_VideoCodecNotSupported) (video codec [NUM]) at  line [NUM],1
E238,Error in CoreDragRemoveTrackingHandler: [NUM],1
